Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,PCCcrtion,PCCmean,PCCcorrect
62,3,663,0.12613,0.08593,0.12958,0.13705,0.11879,0.11284,9.60541,0.12456,1.19649
63,3,648,0.12479,0.10169,0.0933,0.12944,0.09124,0.1315,8.87717,0.11137,0.98866
64,3,649,0.14535,0.11093,0.15406,0.13535,0.11876,0.17819,7.87544,0.14659,1.15447
65,3,657,0.14092,0.08339,0.15021,0.16454,0.13129,0.13503,9.22479,0.14527,1.34005
66,3,638,0.09614,0.09592,0.14036,0.1506,0.11335,0.23385,10.41338,0.15954,1.66137
67,3,658,0.09963,0.0857,0.2165,0.14488,0.11228,0.19636,10.82246,0.1675,1.81282
68,3,642,0.08944,0.10556,0.17709,0.17773,0.13251,0.2175,10.29168,0.17621,1.81348
69,3,660,0.11176,0.08956,0.17828,0.1583,0.09917,0.137,9.99574,0.14319,1.43127
70,3,637,0.0993,0.13513,0.14568,0.11572,0.14383,0.14319,8.63298,0.1371,1.18361
71,3,628,0.1432,0.14651,0.12996,0.16612,0.0965,0.17286,6.90379,0.14136,0.97589
72,3,646,0.12629,0.15363,0.15817,0.10659,0.14998,0.13975,7.1793,0.13862,0.99521
73,3,647,0.10087,0.15263,0.10991,0.15413,0.14436,0.12936,8.05917,0.13444,1.08349
74,3,634,0.06356,0.161,0.12366,0.089,0.09732,0.15163,9.88519,0.1154,1.14078
75,3,651,0.07896,0.17824,0.18235,0.09995,0.12725,0.13537,8.42956,0.13623,1.14834
76,3,645,0.13339,0.11466,0.09148,0.07072,0.0534,0.09064,8.0859,0.07656,0.61907
77,3,634,0.0857,0.13165,0.09138,0.08731,0.12715,0.09248,9.41468,0.09958,0.93753
78,3,648,0.1446,0.05324,0.09812,0.0673,0.08767,0.09156,11.39702,0.08616,0.98199
79,3,644,0.16697,0.07724,0.10378,0.09118,0.10888,0.08383,8.80565,0.09692,0.85342
80,3,641,0.19637,0.09764,0.0806,0.13095,0.103,0.09397,7.22179,0.10213,0.73756
81,3,655,0.17437,0.09563,0.08559,0.09731,0.13085,0.12689,7.74401,0.11016,0.85308
82,3,640,0.15267,0.10953,0.09918,0.1418,0.11863,0.14813,7.73319,0.12693,0.98161
83,3,645,0.15991,0.09627,0.11784,0.12442,0.09177,0.12219,8.05982,0.11405,0.91924
84,3,645,0.12086,0.10219,0.08402,0.14738,0.13994,0.1567,8.99791,0.13201,1.1878
85,3,637,0.15258,0.12267,0.09273,0.16185,0.12697,0.09059,7.30935,0.11803,0.86276
86,3,649,0.11057,0.09405,0.08696,0.14752,0.15644,0.15628,9.80638,0.1368,1.34152
87,3,653,0.0989,0.04037,0.13571,0.15196,0.10924,0.0781,15.82555,0.11875,1.87929
88,4,693,0.1733,0.12198,0.10155,0.15015,0.13492,0.21469,6.87792,0.15033,1.03393
89,4,697,0.20963,0.14379,0.22569,0.16315,0.18546,0.22322,5.75989,0.19938,1.14841
90,4,703,0.19782,0.12701,0.19196,0.19035,0.13516,0.19592,6.30886,0.17835,1.12516
91,4,689,0.15761,0.14137,0.19522,0.19976,0.17166,0.22701,6.69921,0.19841,1.32922
92,4,695,0.18596,0.17095,0.23963,0.21639,0.20067,0.24099,5.60855,0.22442,1.25866
93,4,692,0.15611,0.11123,0.22296,0.23984,0.19749,0.24525,7.58898,0.22638,1.71802
94,4,686,0.13943,0.09984,0.21812,0.17386,0.14792,0.20576,8.47553,0.18642,1.57998
95,4,682,0.14279,0.13255,0.17657,0.17691,0.16203,0.1969,7.26885,0.1781,1.29459
96,4,694,0.15905,0.14223,0.1741,0.18905,0.13512,0.22048,6.64868,0.17969,1.19468
97,4,678,0.1691,0.16857,0.17695,0.14886,0.2004,0.19529,5.92295,0.18037,1.06834
